Product,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,0.6772513878160487,0.7678808272786851,0.8063508326896291,0.6872283789143878,0.7824029300553776,0.6645898033750315,0.799839807743641,0.5735985672887791,0.7594373878376559,0.8180982812227503,0.6,0.875,0.7165266452430796,0.6659234476094695,0.8180982812227503,0.7534015190419641,0.7705842661294382,0.7594373878376559,0.7534015190419641
alcohawk alcohol detector,0.6772513878160487,0.0,0.9041073397029231,0.8,0.7308090489709173,0.8651600275073515,0.7690598923241497,0.8759652654107916,0.834855435231046,0.8012384020000187,0.7495102835659402,0.7934408882022711,0.8063508326896291,0.6096399708205869,0.7929803321972937,0.8121327126744552,0.8726570920065974,0.8222953366722723,0.850928801500014,0.8726570920065974
all in one printer,0.7678808272786851,0.9041073397029231,0.0,0.8561610095543848,0.5740782990356985,0.45046804374004945,0.7508635604387801,0.524239173239958,0.6832769670140416,0.49968081707569567,0.7748113254444775,0.5914702560104859,0.6750331581901592,0.6841619171453817,0.801483333205814,0.819849060355582,0.6031343679327686,0.7869928385788475,0.5354179015702889,0.6031343679327686
bike,0.8063508326896291,0.8,0.8561610095543848,0.0,0.7846472391767338,0.6853733975171536,0.8845299461620748,0.7105856192918469,0.6146626822057739,0.8012384020000187,0.5616429962403954,0.6385215543539744,0.8709005551264195,0.85361498905772,0.5859606643945874,0.4990205671318805,0.7028665480153937,0.7038255611204538,0.8012384020000187,0.8302094560087965
blower-vac,0.6872283789143878,0.7308090489709173,0.5740782990356985,0.7846472391767338,0.0,0.6370229956796861,0.6269980767038745,0.6661097183529111,0.555445775525613,0.598713823047436,0.595422610060661,0.6246740546972654,0.6872283789143878,0.6847558375043598,0.7770887149698589,0.7471391312879132,0.6572044149044695,0.856490538029518,0.598713823047436,0.6572044149044695
cd player,0.7824029300553776,0.8651600275073515,0.45046804374004945,0.6853733975171536,0.6370229956796861,0.0,0.7275253695434669,0.10800852265910321,0.7030921523899178,0.32997478982719197,0.5777996690792508,0.5822136257063252,0.6518446880886043,0.7368193220160923,0.5347578948007645,0.5777996690792508,0.19869067015500053,0.5207661617014769,0.49748109237039395,0.28454524120982194
coolit drink cooler,0.6645898033750315,0.7690598923241497,0.7508635604387801,0.8845299461620748,0.6269980767038745,0.7275253695434669,0.0,0.7493597940861985,0.761634352688602,0.6987679619616454,0.6746043132720158,0.7316718427000253,0.6645898033750315,0.6619382981085935,0.7011928476664016,0.8915347710906719,0.7426748822671674,0.7435054119787115,0.7418011102528389,0.7426748822671674
dvd player,0.799839807743641,0.8759652654107916,0.524239173239958,0.7105856192918469,0.6661097183529111,0.10800852265910321,0.7493597940861985,0.0,0.6927450661004866,0.4144831262067026,0.6116321813096913,0.5836668001067734,0.6797436923898257,0.727647610299039,0.5720395074890872,0.6116321813096913,0.2102528102610154,0.5224330670590808,0.5377498364789757,0.2892275292349138
first shot nerf gun,0.5735985672887791,0.834855435231046,0.6832769670140416,0.6146626822057739,0.555445775525613,0.7030921523899178,0.761634352688602,0.6927450661004866,0.0,0.7127865210482236,0.5346210790044827,0.3177577076620467,0.7867992836443896,0.7179619625911169,0.5441576941614482,0.5863298480039847,0.6845501632452482,0.6576188083688371,0.6307255270620018,0.7897001088301655
game controller,0.7594373878376559,0.8012384020000187,0.49968081707569567,0.8012384020000187,0.598713823047436,0.32997478982719197,0.6987679619616454,0.4144831262067026,0.7127865210482236,0.0,0.5799159747915971,0.6150998205402495,0.5669872981077807,0.636303516273346,0.4856555001263603,0.5799159747915971,0.43050520254850055,0.5584892143116522,0.5185185185185186,0.3988666026900839
