,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,37.41296409352968,62.93150231998235,41.26394469275277,47.38926570253805,67.7196407205929,41.969993134546165,67.57095333802557,41.05406302409317,53.611427425330774,42.11470982536817,38.46791599362153,50.33280826828728,56.45787436001572,37.12738087311506,42.272679324789955,72.93770721747843,44.490256948397544,56.06535697162772,66.79829832857206
alcohawk alcohol detector,37.41296409352968,0.0,65.96440362706369,40.78889802061176,51.617634617383395,71.71505927647539,47.085472183600785,72.0765890675722,51.02818297280356,58.35085537127912,40.280873870071744,46.493569119110035,46.37978669214439,53.683199039474815,41.0136683983728,44.174613574957064,81.66540053528871,44.78355356626117,60.64510643651731,75.22134056256465
all in one printer,62.93150231998235,65.96440362706369,0.0,57.370840645705755,57.860836412296784,41.25358228097434,63.90560285873297,47.558481836309625,65.7228458132581,45.19023404537691,61.74033058958023,55.66315482513842,53.74312314065578,69.51598831803074,58.2964061317676,61.80808846720897,57.4148009923704,58.532684917872984,52.424564579737556,54.91729521938241
bike,41.26394469275277,40.78889802061176,57.370840645705755,0.0,47.94423763289679,54.65395994692393,46.97310384060559,55.45394846617145,42.15521914997946,48.4762397565609,35.732134502226074,40.676886801361825,47.20756007796294,62.112220475231155,28.53020547573157,26.478355620572156,60.97090745840738,33.9125311685342,48.24362897067168,60.38881286908092
blower-vac,47.38926570253805,51.617634617383395,57.860836412296784,47.94423763289679,0.0,62.31556766913984,45.585202811457634,62.49651427086596,45.78359755057839,49.38295910252683,42.450145594851435,50.489252050124364,53.00996735367798,61.49376637707008,48.48819918900026,46.31302744844781,69.58320360646691,58.287934276314886,54.942264222837444,63.03625651767814
cd player,67.7196407205929,71.71505927647539,41.25358228097434,54.65395994692393,62.31556766913984,0.0,60.52028617419711,18.13830660238873,71.40225226236277,31.932661086460207,62.4624947964187,58.802804143021895,62.710444672024124,78.5801732963992,55.0185886918153,54.10610437798019,23.02675142071906,52.038864874608315,50.022269502770285,26.09984576204536
coolit drink cooler,41.969993134546165,47.085472183600785,63.90560285873297,46.97310384060559,45.585202811457634,60.52028617419711,0.0,63.026694734703035,50.40012224746221,46.47439968171885,42.25645599496964,49.87516380202995,49.090711024282,52.581286137979816,34.868719073584444,42.81126141768425,69.02740246554416,42.48301532590836,50.73154527131251,63.44479320657062
dvd player,67.57095333802557,72.0765890675722,47.558481836309625,55.45394846617145,62.49651427086596,18.13830660238873,63.026694734703035,0.0,72.38700988957316,37.142954230970474,62.20410907889902,55.99345405144566,64.21570063328319,77.09280127518647,57.93164461157212,56.816535537608,29.3656138288206,53.831336803974324,53.843118901377665,25.45545953185782
first shot nerf gun,41.05406302409317,51.02818297280356,65.7228458132581,42.15521914997946,45.78359755057839,71.40225226236277,50.40012224746221,72.38700988957316,0.0,58.3715001876188,36.112161487671536,36.256784828426234,55.461064379759435,63.904419747644056,36.77004393588514,41.0786489299741,77.59772596468767,48.356318683543336,54.66676540949678,74.56067755870822
game controller,53.611427425330774,58.35085537127912,45.19023404537691,48.4762397565609,49.38295910252683,31.932661086460207,46.47439968171885,37.142954230970474,58.3715001876188,0.0,49.24301773545298,48.44595892546998,46.38342830103447,62.54238244677814,39.46714515837904,44.11525537530051,47.28133302003444,44.96131884545747,42.742225863057556,37.9504122294329
