Product,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,0.05263157894736842,0.08771929824561403,0.06265664160401002,0.06766917293233082,0.09774436090225563,0.06015037593984962,0.11278195488721804,0.05513784461152882,0.08270676691729323,0.06766917293233082,0.06265664160401002,0.07017543859649122,0.08020050125313283,0.05012531328320802,0.06766917293233082,0.10275689223057644,0.06766917293233082,0.08270676691729323,0.10275689223057644
alcohawk alcohol detector,0.05263157894736842,0.0,0.10025062656641603,0.06015037593984962,0.07017543859649122,0.10526315789473684,0.06766917293233082,0.12030075187969924,0.07769423558897243,0.08521303258145363,0.06015037593984962,0.08020050125313283,0.06265664160401002,0.06766917293233082,0.05764411027568922,0.06516290726817042,0.11528822055137844,0.07017543859649122,0.09022556390977443,0.11528822055137844
all in one printer,0.08771929824561403,0.10025062656641603,0.0,0.09523809523809523,0.07518796992481203,0.07017543859649122,0.09273182957393483,0.09022556390977443,0.08771929824561403,0.07017543859649122,0.09022556390977443,0.08020050125313283,0.07769423558897243,0.09774436090225563,0.08771929824561403,0.09523809523809523,0.10025062656641603,0.09523809523809523,0.07518796992481203,0.10025062656641603
bike,0.06265664160401002,0.06015037593984962,0.09523809523809523,0.0,0.07518796992481203,0.08521303258145363,0.07769423558897243,0.10025062656641603,0.05764411027568922,0.08521303258145363,0.045112781954887216,0.06516290726817042,0.06766917293233082,0.09273182957393483,0.042606516290726815,0.040100250626566414,0.09523809523809523,0.06015037593984962,0.08521303258145363,0.11027568922305764
blower-vac,0.06766917293233082,0.07017543859649122,0.07518796992481203,0.07518796992481203,0.0,0.09022556390977443,0.06766917293233082,0.10526315789473684,0.06265664160401002,0.07518796992481203,0.06015037593984962,0.07518796992481203,0.06766917293233082,0.08771929824561403,0.07268170426065163,0.07518796992481203,0.10025062656641603,0.09022556390977443,0.07518796992481203,0.10025062656641603
cd player,0.09774436090225563,0.10526315789473684,0.07017543859649122,0.08521303258145363,0.09022556390977443,0.0,0.09774436090225563,0.020050125313283207,0.09774436090225563,0.05012531328320802,0.07518796992481203,0.08521303258145363,0.08270676691729323,0.11278195488721804,0.06766917293233082,0.07518796992481203,0.03508771929824561,0.07017543859649122,0.07518796992481203,0.05012531328320802
coolit drink cooler,0.06015037593984962,0.06766917293233082,0.09273182957393483,0.07769423558897243,0.06766917293233082,0.09774436090225563,0.0,0.11278195488721804,0.08020050125313283,0.08270676691729323,0.06265664160401002,0.08270676691729323,0.06015037593984962,0.08020050125313283,0.06015037593984962,0.08270676691729323,0.10776942355889724,0.07268170426065163,0.08771929824561403,0.10776942355889724
dvd player,0.11278195488721804,0.12030075187969924,0.09022556390977443,0.10025062656641603,0.10526315789473684,0.020050125313283207,0.11278195488721804,0.0,0.10776942355889724,0.07017543859649122,0.09022556390977443,0.09523809523809523,0.09774436090225563,0.12280701754385964,0.08270676691729323,0.09022556390977443,0.040100250626566414,0.08020050125313283,0.09022556390977443,0.05513784461152882
first shot nerf gun,0.05513784461152882,0.07769423558897243,0.08771929824561403,0.05764411027568922,0.06265664160401002,0.09774436090225563,0.08020050125313283,0.10776942355889724,0.0,0.08771929824561403,0.05263157894736842,0.03759398496240601,0.07518796992481203,0.09022556390977443,0.05012531328320802,0.05764411027568922,0.10275689223057644,0.06766917293233082,0.07769423558897243,0.11779448621553884
game controller,0.08270676691729323,0.08521303258145363,0.07017543859649122,0.08521303258145363,0.07518796992481203,0.05012531328320802,0.08270676691729323,0.07017543859649122,0.08771929824561403,0.0,0.06516290726817042,0.08020050125313283,0.06265664160401002,0.08771929824561403,0.05263157894736842,0.06516290726817042,0.07017543859649122,0.06516290726817042,0.07017543859649122,0.06516290726817042
gillete m3 power nitro,0.06766917293233082,0.06015037593984962,0.09022556390977443,0.045112781954887216,0.06015037593984962,0.07518796992481203,0.06265664160401002,0.09022556390977443,0.05263157894736842,0.06516290726817042,0.0,0.06015037593984962,0.047619047619047616,0.08270676691729323,0.042606516290726815,0.05012531328320802,0.08521303258145363,0.06015037593984962,0.07518796992481203,0.10025062656641603
stapler,0.06265664160401002,0.08020050125313283,0.08020050125313283,0.06516290726817042,0.07518796992481203,0.08521303258145363,0.08270676691729323,0.09523809523809523,0.03759398496240601,0.08020050125313283,0.06015037593984962,0.0,0.07769423558897243,0.08270676691729323,0.047619047619047616,0.06015037593984962,0.08521303258145363,0.05513784461152882,0.07017543859649122,0.10025062656641603
