,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,13.0,18.80765978921603,19.097673915706658,17.724441644543635,17.11910760698909,19.082876192956757,17.959577043390095,19.728164026171868,17.27610189527374,17.91410474330053,16.467979257664883,17.84833601971011,17.81807228857233,18.330708054466427,19.23893436590546,18.3313613164401,20.802520204920594,17.322755165109598,17.82943966765194,19.96424668200487
alcohawk alcohol detector,18.80765978921603,13.0,21.453074752625206,14.625303247391406,19.55214079525811,21.978338743463606,17.74801227468115,22.727733975718213,20.663734832224826,22.686676596676207,17.27755521610811,22.041964323498913,16.70089847294702,20.61243632963074,17.228281659474984,17.503503783545668,23.378022473164894,18.027322387704956,20.518491846464762,22.40090302763964
all in one printer,19.097673915706658,21.453074752625206,8.0,20.954167472534003,12.508668043383793,11.37406203153458,18.73777989397285,12.728731990577966,17.787256198017467,12.358410398737217,19.92519615705992,13.061251806136129,19.530633930903985,10.874054675503155,21.151929514825454,20.800298728336013,12.570484056478287,18.634759988644,14.759437860354309,12.634880867559154
bike,17.724441644543635,14.625303247391406,20.954167472534003,13.0,19.05809328475675,21.21952672241754,16.719012207096366,21.8889615385364,19.820853661563202,21.54997245815588,16.17586918965139,20.835042934739157,16.449850345302696,20.143091064434334,17.539549844367503,16.488885794005935,22.99805846368388,16.609529903940167,19.95344256963511,21.97849355884501
blower-vac,17.11910760698909,19.55214079525811,12.508668043383793,19.05809328475675,8.0,13.664046335245882,16.954968416743487,14.974377170603818,16.646516556228434,14.566856667074354,18.11520530326094,14.290517393776902,18.499881339251274,9.979071853967408,20.647987124050427,18.977894156922723,15.663735595918135,17.12834152401752,15.050514859277808,14.438609978850089
cd player,19.082876192956757,21.978338743463606,11.37406203153458,21.21952672241754,13.664046335245882,8.0,19.121149274403983,9.612022701582797,19.10307296978744,10.688291395744972,20.31551405705621,13.34292770639024,21.00308310343135,12.26614712006641,22.921793952183414,21.15948538126475,11.198859517068565,19.123249324325634,16.45219019678429,9.917506423254173
coolit drink cooler,17.959577043390095,17.74801227468115,18.73777989397285,16.719012207096366,16.954968416743487,19.121149274403983,13.0,19.93040914747533,17.922649432119165,19.592167559971237,16.04478728685763,19.80184454783005,16.975678463845533,17.903043046663026,18.95263331410334,16.72251957929191,21.15616704223933,16.172065243586406,17.958461831263964,20.024609358166387
dvd player,19.728164026171868,22.727733975718213,12.728731990577966,21.8889615385364,14.974377170603818,9.612022701582797,19.93040914747533,8.0,19.967733136421376,11.015396851456522,21.0477846906708,14.487690948639957,21.740125172467636,13.50112265734643,23.525834008647752,21.91929481315286,10.550041746448215,19.902577985404353,17.405003025792066,9.49340550132831
first shot nerf gun,17.27610189527374,20.663734832224826,17.787256198017467,19.820853661563202,16.646516556228434,19.10307296978744,17.922649432119165,19.967733136421376,13.0,19.092620043633826,18.752157907484243,18.56574200264448,18.95450680416287,17.70531814021879,20.15095047942129,19.704271133358464,19.929983567207668,18.023695156028747,16.769713477947057,19.754483167668095
game controller,17.91410474330053,22.686676596676207,12.358410398737217,21.54997245815588,14.566856667074354,10.688291395744972,19.592167559971237,11.015396851456522,19.092620043633826,8.0,20.14142327246685,12.1804768589837,21.5730609233765,13.160166493827488,23.291599709285084,20.934957857422372,12.530279228828883,19.39849717676105,17.01584854885419,11.721079230683465
