,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,37.41296409352968,62.93150231998234,41.26394469275278,47.38926570253805,67.7196407205929,69.05765823936854,41.969993134546165,107.72846119915492,37.78399375862626,67.57095333802557,41.05406302409317,53.611427425330774,42.11470982536817,38.46791599362154,50.33280826828728,56.45787436001572,72.72030371038294,37.12738087311506,42.27267932478995,72.93770721747843,44.490256948397544,56.06535697162773,66.79829832857207
alcohawk alcohol detector,37.41296409352968,0.0,65.96440362706367,40.78889802061176,51.617634617383395,71.71505927647539,77.51625669587983,47.085472183600785,111.92968375269605,36.43347893033608,72.0765890675722,51.02818297280356,58.35085537127912,40.28087387007175,46.49356911911005,46.37978669214439,53.683199039474815,79.78025938020255,41.0136683983728,44.174613574957064,81.66540053528873,44.78355356626117,60.64510643651731,75.22134056256465
all in one printer,62.93150231998234,65.96440362706367,0.0,57.37084064570575,57.860836412296784,41.25358228097435,76.0372523024216,63.90560285873297,104.46054829687186,65.15760371526446,47.55848183630961,65.7228458132581,45.19023404537691,61.74033058958023,55.66315482513842,53.74312314065578,69.51598831803072,84.74406238856979,58.29640613176759,61.808088467208975,57.41480099237041,58.532684917873,52.42456457973756,54.91729521938241
bike,41.26394469275278,40.78889802061176,57.37084064570575,0.0,47.94423763289679,54.65395994692393,59.270239378248746,46.97310384060559,92.16768772869888,43.39844397286139,55.45394846617145,42.155219149979466,48.4762397565609,35.732134502226074,40.676886801361825,47.20756007796294,62.11222047523116,63.436224662491774,28.53020547573157,26.478355620572156,60.97090745840738,33.9125311685342,48.243628970671686,60.38881286908092
blower-vac,47.38926570253805,51.617634617383395,57.860836412296784,47.94423763289679,0.0,62.315567669139845,57.191311920118515,45.585202811457634,82.61329091310537,52.84212453438332,62.49651427086596,45.78359755057839,49.38295910252683,42.45014559485143,50.489252050124364,53.00996735367798,61.49376637707008,61.958027656261294,48.48819918900026,46.313027448447805,69.58320360646692,58.28793427631488,54.942264222837444,63.03625651767813
cd player,67.7196407205929,71.71505927647539,41.25358228097435,54.65395994692393,62.315567669139845,0.0,75.35129570401429,60.52028617419711,88.64279975377312,66.69454611314606,18.138306602388734,71.40225226236278,31.932661086460204,62.4624947964187,58.802804143021895,62.71044467202412,78.5801732963992,83.9774747645729,55.0185886918153,54.10610437798018,23.026751420719066,52.038864874608315,50.022269502770285,26.099845762045355
colgate toothbrush,69.05765823936854,77.51625669587983,76.0372523024216,59.270239378248746,57.191311920118515,75.35129570401429,0.0,73.22032700976301,76.93870088103297,73.71771924560991,76.69416535145297,61.122958089321514,66.63974065884548,57.7204201864549,64.4855485831974,73.06835099966082,81.91638440672517,17.931297845101735,55.919704072244215,57.53753859553232,77.23729844122161,62.33951152482639,66.90159242159163,74.53476871189925
coolit drink cooler,41.969993134546165,47.085472183600785,63.90560285873297,46.97310384060559,45.585202811457634,60.52028617419711,73.22032700976301,0.0,96.78728366813057,41.82616120755511,63.026694734703035,50.40012224746221,46.47439968171884,42.256455994969635,49.87516380202995,49.090711024282,52.581286137979816,77.27353286568143,34.86871907358445,42.81126141768424,69.02740246554416,42.48301532590837,50.73154527131252,63.44479320657062
datsun,107.72846119915492,111.92968375269605,104.46054829687186,92.16768772869888,82.61329091310537,88.64279975377312,76.93870088103297,96.78728366813057,0.0,110.91619349475789,88.89899554376767,103.19385266241885,78.22233628905147,95.10081327815432,90.44946980159686,104.69901050217877,98.800956229051,83.12273218453024,95.02680797040009,94.52831908026329,92.72110248576558,96.39696036592655,91.05223521478553,88.26157254906319
dryer,37.78399375862626,36.43347893033608,65.15760371526446,43.39844397286139,52.84212453438332,66.69454611314606,73.71771924560991,41.82616120755511,110.91619349475789,0.0,67.494397418721,48.89436878316075,53.768334875365596,39.46531840190047,45.34525468302687,46.19074798843323,58.34294425729628,77.87032766148728,41.619788942768565,42.9299463592493,72.27632747119615,44.402565499045004,56.87790442963554,68.75017484967803
