Product,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,0.0525,0.0875,0.0625,0.0675,0.0975,0.1025,0.06,0.185,0.055,0.1125,0.055,0.0825,0.0675,0.0625,0.07,0.08,0.1075,0.05,0.0675,0.1025,0.0675,0.0825,0.1025
alcohawk alcohol detector,0.0525,0.0,0.1,0.06,0.07,0.105,0.105,0.0675,0.1725,0.0525,0.12,0.0775,0.085,0.06,0.08,0.0625,0.0675,0.11,0.0575,0.065,0.115,0.07,0.09,0.115
all in one printer,0.0875,0.1,0.0,0.095,0.075,0.07,0.12,0.0925,0.1825,0.0925,0.09,0.0875,0.07,0.09,0.08,0.0775,0.0975,0.13,0.0875,0.095,0.1,0.095,0.075,0.1
bike,0.0625,0.06,0.095,0.0,0.075,0.085,0.08,0.0775,0.1475,0.0625,0.1,0.0575,0.085,0.045,0.065,0.0675,0.0925,0.085,0.0425,0.04,0.095,0.06,0.085,0.11
blower-vac,0.0675,0.07,0.075,0.075,0.0,0.09,0.09,0.0675,0.1475,0.0725,0.105,0.0625,0.075,0.06,0.075,0.0675,0.0875,0.1,0.0725,0.075,0.1,0.09,0.075,0.1
cd player,0.0975,0.105,0.07,0.085,0.09,0.0,0.105,0.0975,0.1475,0.0875,0.02,0.0975,0.05,0.075,0.085,0.0825,0.1125,0.115,0.0675,0.075,0.035,0.07,0.075,0.05
colgate toothbrush,0.1025,0.105,0.12,0.08,0.09,0.105,0.0,0.1125,0.1225,0.0975,0.12,0.0825,0.095,0.07,0.09,0.1075,0.1225,0.025,0.0725,0.08,0.095,0.09,0.09,0.11
coolit drink cooler,0.06,0.0675,0.0925,0.0775,0.0675,0.0975,0.1125,0.0,0.165,0.055,0.1125,0.08,0.0825,0.0625,0.0825,0.06,0.08,0.1175,0.06,0.0825,0.1075,0.0725,0.0875,0.1075
datsun,0.185,0.1725,0.1825,0.1475,0.1475,0.1475,0.1225,0.165,0.0,0.165,0.1575,0.16,0.1375,0.1475,0.1575,0.165,0.16,0.1325,0.15,0.1575,0.1425,0.1625,0.1425,0.1525
dryer,0.055,0.0525,0.0925,0.0625,0.0725,0.0875,0.0975,0.055,0.165,0.0,0.0975,0.065,0.0725,0.0525,0.0675,0.06,0.075,0.1025,0.055,0.0625,0.0925,0.0625,0.0825,0.0975
dvd player,0.1125,0.12,0.09,0.1,0.105,0.02,0.12,0.1125,0.1575,0.0975,0.0,0.1075,0.07,0.09,0.095,0.0975,0.1225,0.13,0.0825,0.09,0.04,0.08,0.09,0.055
first shot nerf gun,0.055,0.0775,0.0875,0.0575,0.0625,0.0975,0.0825,0.08,0.16,0.065,0.1075,0.0,0.0875,0.0525,0.0375,0.075,0.09,0.0875,0.05,0.0575,0.1025,0.0675,0.0775,0.1175
game controller,0.0825,0.085,0.07,0.085,0.075,0.05,0.095,0.0825,0.1375,0.0725,0.07,0.0875,0.0,0.065,0.08,0.0625,0.0875,0.105,0.0525,0.065,0.07,0.065,0.07,0.065
gillete m3 power nitro,0.0675,0.06,0.09,0.045,0.06,0.075,0.07,0.0625,0.1475,0.0525,0.09,0.0525,0.065,0.0,0.06,0.0475,0.0825,0.075,0.0425,0.05,0.085,0.06,0.075,0.1
stapler,0.0625,0.08,0.08,0.065,0.075,0.085,0.09,0.0825,0.1575,0.0675,0.095,0.0375,0.08,0.06,0.0,0.0775,0.0825,0.095,0.0475,0.06,0.085,0.055,0.07,0.1
hulk hands,0.07,0.0625,0.0775,0.0675,0.0675,0.0825,0.1075,0.06,0.165,0.06,0.0975,0.075,0.0625,0.0475,0.0775,0.0,0.075,0.1125,0.06,0.0725,0.0975,0.0725,0.0725,0.0975
lawn mower,0.08,0.0675,0.0975,0.0925,0.0875,0.1125,0.1225,0.08,0.16,0.075,0.1225,0.09,0.0875,0.0825,0.0825,0.075,0.0,0.1275,0.075,0.0925,0.1125,0.0875,0.0975,0.1125
oral b toothbrush,0.1075,0.11,0.13,0.085,0.1,0.115,0.025,0.1175,0.1325,0.1025,0.13,0.0875,0.105,0.075,0.095,0.1125,0.1275,0.0,0.0775,0.085,0.105,0.095,0.1,0.12
quickgrip,0.05,0.0575,0.0875,0.0425,0.0725,0.0675,0.0725,0.06,0.15,0.055,0.0825,0.05,0.0525,0.0425,0.0475,0.06,0.075,0.0775,0.0,0.0275,0.0775,0.0225,0.0775,0.0925
scooter,0.0675,0.065,0.095,0.04,0.075,0.075,0.08,0.0825,0.1575,0.0625,0.09,0.0575,0.065,0.05,0.06,0.0725,0.0925,0.085,0.0275,0.0,0.085,0.045,0.08,0.1
vhs player,0.1025,0.115,0.1,0.095,0.1,0.035,0.095,0.1075,0.1425,0.0925,0.04,0.1025,0.07,0.085,0.085,0.0975,0.1125,0.105,0.0775,0.085,0.0,0.08,0.07,0.02
vise grip,0.0675,0.07,0.095,0.06,0.09,0.07,0.09,0.0725,0.1625,0.0625,0.08,0.0675,0.065,0.06,0.055,0.0725,0.0875,0.095,0.0225,0.045,0.08,0.0,0.08,0.095
water pump,0.0825,0.09,0.075,0.085,0.075,0.075,0.09,0.0875,0.1425,0.0825,0.09,0.0775,0.07,0.075,0.07,0.0725,0.0975,0.1,0.0775,0.08,0.07,0.08,0.0,0.07
zip disk drive,0.1025,0.115,0.1,0.11,0.1,0.05,0.11,0.1075,0.1525,0.0975,0.055,0.1175,0.065,0.1,0.1,0.0975,0.1125,0.12,0.0925,0.1,0.02,0.095,0.07,0.0
