,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,3.176557450471091,6.9333523062521065,2.671563998109605,4.138326562085686,8.807422749059803,10.383613937596103,3.613905409302073,23.25697913919021,2.972207043619635,11.446559706171437,4.1028468444118715,6.925216658529014,1.2349979837471292,6.068537754749892,2.185373671742761,6.65185756050379,11.336470116866089,2.7213970962522542,2.775875090480665,10.74001036034684,4.198511231073797,6.006006421598409,10.487395484271593
alcohawk alcohol detector,3.176557450471091,0.0,7.020546355799473,1.9286581934798912,4.457701036000362,9.013224596756144,10.470686585574784,3.117087769195878,23.473971387247882,2.427069022689598,11.6386003646472,4.032908036084863,7.393167887966525,2.9088798603952473,6.186484565105367,1.619929651581954,6.839852076605371,11.545028679443096,1.5036150206188392,2.792946486315838,10.957404982139256,3.3487678370435967,6.160597439100843,10.919488009839302
all in one printer,6.9333523062521065,7.020546355799473,0.0,6.814292482904353,3.3497707720004932,2.610599751719128,4.394060047421981,4.399187157405931,16.97611858276161,6.001341606537191,5.006569056889865,3.957440997253002,3.5446203963937206,6.500933669863696,4.290998487099047,6.422913829916752,1.2890287295723737,5.3412748545847455,7.379437998638782,5.710817001473925,4.403594865094722,4.678461109374139,2.0441615016369155,4.537950726717206
bike,2.671563998109605,1.9286581934798912,6.814292482904353,0.0,4.112468364815258,8.712122112064055,10.43649551233417,3.0111693032083213,23.40716263939013,2.6687968052948077,11.387757336121513,3.9150864325380748,6.887620578648071,2.5856838290364412,5.806665743082685,1.3579568104798558,6.550426286698022,11.52309491046067,1.943854614388897,1.6618653232332077,10.70680792001188,3.089557953274477,6.115546778898753,10.629246830122764
blower-vac,4.138326562085686,4.457701036000362,3.3497707720004932,4.112468364815258,0.0,5.225418678262625,7.053348086999019,2.227470849917592,19.730476009208015,3.6464553785449763,7.763367964601739,2.126496785764499,3.8415671591173797,3.517370558425181,3.7550389578935444,3.6236665107462365,3.300430184358628,7.954838004567009,4.793636590625154,3.1866781150611736,7.176603395552625,3.072461438950624,2.670948544077878,7.213417026222729
cd player,8.807422749059803,9.013224596756144,2.610599751719128,8.712122112064055,5.225418678262625,0.0,3.5033381134818087,6.215625766601283,15.096689995128248,8.1299131456091,3.0760221391959632,5.784798671325791,3.7422258858059054,8.358071312524638,4.874236710555883,8.40033597533877,2.738816115535365,4.121309897836316,9.491660909250903,7.5635133507826415,2.5658951007118693,6.516660476898578,3.503009904751005,2.4775586359147717
colgate toothbrush,10.383613937596103,10.470686585574784,4.394060047421981,10.43649551233417,7.053348086999019,3.5033381134818087,0.0,7.955450633904895,13.737066542796132,9.078968920590833,3.5662027782255383,6.949628290222701,6.7464831016263735,9.90585987202125,7.143595293269299,9.983924759466623,4.5831522783148815,1.663856254799701,11.023159589874137,9.457988158360857,3.4285844047820353,8.496562122725944,4.767873828383572,3.3191142971521557
coolit drink cooler,3.613905409302073,3.117087769195878,4.399187157405931,3.0111693032083213,2.227470849917592,6.215625766601283,7.955450633904895,0.0,20.943460946699133,2.9148753874105675,8.894684084646332,1.9366561806120743,4.786522430788567,3.2725988787739873,4.03525052696648,2.626615117003229,4.167073582513083,8.95322012005344,3.62638308015559,2.3777283327629215,8.26604484745254,1.5623752129354915,3.5027176697280114,8.127378711964493
datsun,23.25697913919021,23.473971387247882,16.97611858276161,23.40716263939013,19.730476009208015,15.096689995128248,13.737066542796132,20.943460946699133,0.0,22.33740775726157,12.469250042188131,20.18637562449361,17.81598851432645,22.751734195070473,18.883102594399553,23.012311496984506,17.28604231983756,12.72156409995901,24.029862730595685,22.340233805171042,13.360824418629566,21.288448458230395,17.817850157840653,13.532041312747975
dryer,2.972207043619635,2.427069022689598,6.001341606537191,2.6687968052948077,3.6464553785449763,8.1299131456091,9.078968920590833,2.9148753874105675,22.33740775726157,0.0,10.664758848204189,2.7401046153896473,7.136868195640254,2.704048546307225,6.1437568462389445,2.0566338982682213,5.832843113636005,10.20526760746713,2.655042206068062,2.9932282059909854,9.934866056117915,3.679219344180492,5.035883234387521,9.864492130726543
