,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,13.0,19.058130919201695,19.10189274517181,17.909939523220633,17.100553998016398,19.061095919381525,21.584134439442863,17.945925836482903,24.837908588661076,18.05529336276117,19.69833143317633,17.205944045643456,17.905375523209752,16.441076667928947,17.855259851527297,17.740008435986518,18.344937225834276,21.26977747401504,19.171767533965625,18.274834687173772,20.65564778945039,17.43002242158204,17.790797019505124,19.880792609819782
alcohawk alcohol detector,19.058130919201695,13.0,21.659958676895652,15.813107575367189,19.838514165866084,22.164774501612754,24.90273773744933,17.9982938934306,27.773488771778645,19.94409601577012,22.90332652782441,20.72272883041597,22.821553826816373,17.333778951847957,22.394100688584288,16.744690008894953,20.857543260081584,24.87868754322441,17.194836473239423,17.45365170634921,23.537872837450553,18.394806242652383,20.843130359243656,22.632855018236153
all in one printer,19.10189274517181,21.659958676895652,8.0,21.108664375174893,15.651330334095846,11.218646886654708,13.941612959437863,18.6913820070445,20.422216835062866,19.871219019383503,12.691498447409916,17.495467589053785,12.254897024976641,19.84832671959556,13.290647107130205,19.51185013687788,14.20053716341361,13.444086623434128,21.068681095099926,20.71469249577894,12.50660909102901,18.87288773616887,14.783077948006884,12.618616383220749
bike,17.909939523220633,15.813107575367189,21.108664375174893,13.0,19.29232642110137,21.405911393735153,24.20122552910862,17.006728113330265,27.211195710113426,19.85590391135584,22.077104489296087,19.870639646870746,21.65301600245043,16.2375808229338,21.04315408645579,16.441590554289004,20.331551738753284,24.172809110630244,17.3639178048835,16.476139370175538,23.120701284008344,16.869038176030347,20.19292858053735,22.20604665401699
blower-vac,17.100553998016398,19.838514165866084,15.651330334095846,19.29232642110137,13.0,16.223110008360837,19.227014602081567,16.961823683761455,23.573224429095173,18.815718986870674,17.304141953036755,16.41253868550688,16.97152817997342,18.071614294985757,17.497878323589493,18.432556034210837,14.742789388456703,19.12221572009253,20.544501488269287,18.922205123529675,17.710170139425713,17.31921025866882,15.025891807468884,16.616395360368532
cd player,19.061095919381525,22.164774501612754,11.218646886654708,21.405911393735153,16.223110008360837,8.0,12.806443704652558,19.11479831124587,18.917335235247958,21.4298382608532,9.732460234520133,18.921584761776025,10.747924244012863,20.262393398726683,13.373505505073503,20.89823975216721,15.02464743150032,12.030228575839999,22.800256231858715,21.103222406461114,11.161268773264407,19.296683644635348,16.416349603457142,10.024297379390143
colgate toothbrush,21.584134439442863,24.90273773744933,13.941612959437863,24.20122552910862,19.227014602081567,12.806443704652558,8.0,22.199967035107594,17.66510608310288,20.324347623068007,13.135689363278146,19.797528614281408,13.242192127706002,23.081284951398757,15.773451090398792,23.47138812876623,18.13199169150518,10.048806867894347,24.528428801791463,23.561759414318047,12.978365999252851,22.15652720459404,18.630175360066072,13.387930941975174
coolit drink cooler,17.945925836482903,17.9982938934306,18.6913820070445,17.006728113330265,16.961823683761455,19.11479831124587,22.199967035107594,13.0,25.64138264360812,19.874441073723062,19.89217068815997,17.758031169741045,19.532518339762156,15.625114398337333,19.812765957354934,16.72830411618584,17.884123163016426,22.07113994670141,18.63005855095306,16.3775098502293,21.045944157943097,16.00975600343516,17.955902718205508,20.018660196467575
datsun,24.837908588661076,27.773488771778645,20.422216835062866,27.211195710113426,23.573224429095173,18.917335235247958,17.66510608310288,25.64138264360812,8.0,23.979167978180815,17.724176072895585,23.86020000727177,19.419582880782155,26.279534619621614,21.246365130153787,26.468297303828944,22.67169783305379,17.244204020566627,27.2808780283756,26.900026644927905,17.65730686125918,25.570564361326216,23.036355346355357,17.762354408364885
dryer,18.05529336276117,19.94409601577012,19.871219019383503,19.85590391135584,18.815718986870674,21.4298382608532,20.324347623068007,19.874441073723062,23.979167978180815,13.0,22.238501527616364,18.03698039330635,21.417183175054173,18.87617276111569,21.217909184470443,18.846094055125285,19.951595278373574,19.819308242446326,19.33530732694044,20.966935674897865,22.07632004468268,19.687521474398803,19.60894994075925,21.781240349393318
dvd player,19.69833143317633,22.90332652782441,12.691498447409916,22.077104489296087,17.304141953036755,9.732460234520133,13.135689363278146,19.89217068815997,17.724176072895585,22.238501527616364,8.0,19.782431602634425,11.06089861372827,20.966444273681837,14.63051462012981,21.592247040568495,16.03178846442711,12.350390354099417,23.399171268302567,21.867680674239786,10.387319077881308,20.06881104256999,17.36380767550966,9.444979794614296
first shot nerf gun,17.205944045643456,20.72272883041597,17.495467589053785,19.870639646870746,16.41253868550688,18.921584761776025,19.797528614281408,17.758031169741045,23.86020000727177,18.03698039330635,19.782431602634425,13.0,18.99321780289582,18.597151102387254,18.556629825883846,18.65259689927372,17.51075685239468,19.8260190506,19.752419495791056,19.533455534976405,19.490504210793567,18.039074729592908,16.46652344976692,19.508167114400873
game controller,17.905375523209752,22.821553826816373,12.254897024976641,21.65301600245043,16.97152817997342,10.747924244012863,13.242192127706002,19.532518339762156,19.419582880782155,21.417183175054173,11.06089861372827,18.99321780289582,8.0,20.072053194664093,12.254809675606396,21.467478817763393,15.789575367560158,13.297722321864944,23.20752023779529,20.848821101355398,12.466998230199195,19.52567397240252,16.96141109763558,11.738265425834452
gillete m3 power nitro,16.441076667928947,17.333778951847957,19.84832671959556,16.2375808229338,18.071614294985757,20.262393398726683,23.081284951398757,15.625114398337333,26.279534619621614,18.87617276111569,20.966444273681837,18.597151102387254,20.072053194664093,13.0,20.514429203583898,15.538163045233025,19.07377535788053,22.899349292880935,17.856215456043806,15.55713285934792,22.090871711777165,17.015809021685936,19.13584785640703,21.12029903660969
stapler,17.855259851527297,22.394100688584288,13.290647107130205,21.04315408645579,17.497878323589493,13.373505505073503,15.773451090398792,19.812765957354934,21.246365130153787,21.217909184470443,14.63051462012981,18.556629825883846,12.254809675606396,20.514429203583898,8.0,21.54133281457212,17.17741324556478,15.346821308436585,22.203073398564857,20.645138573339146,15.311870184202157,18.83308536380633,16.747532623144885,14.587388357261494
hulk hands,17.740008435986518,16.744690008894953,19.51185013687788,16.441590554289004,18.432556034210837,20.89823975216721,23.47138812876623,16.72830411618584,26.468297303828944,18.846094055125285,21.592247040568495,18.65259689927372,21.467478817763393,15.538163045233025,21.54133281457212,13.0,19.421692296490086,23.319706360169988,16.279951859897114,16.965901183446167,21.68904200848602,17.662449631031194,18.773408201085292,21.422395569390204
